code,name,la,ln,Trains,train_orig
ARA,ARA,84.662596,25.548889,80,0
ARAG,ARAG,74.791164,16.823628,2,0
ARD,AMARDA ROAD,87.102374,21.734258,2,0
ARE,ARNETHA,76.01867417,25.38977848,2,0
ARGD,ARIGADA,85.466475,23.643461,1,0
ARJ,AUNRIHAR JN,83.187272,25.54466,41,0
ARK,ARAKKU,82.86256,18.333991,2,0
ARN,ARAND,82.183013,21.102097,2,0
ARNA,ARNIA,76.51717962,27.01012878,2,0
ARPL,AREPALLI HALT,77.862369,16.270534,1,0
ARQ,ARARIYA COURT,87.446912,26.114921,4,0
ARV,ARNI ROAD,79.209033,12.630801,8,0
ARW,AHRAURA ROAD,83.01888346,25.19650072,3,0
AS,ARJANSAR,73.871969,28.933796,4,0
ASAF,ASIFABAD ROAD,79.416719,19.256682,2,0
ASH,AISHBAGH,80.9096068,26.83738801,5,1
ASK,ARSIKERE JN,76.2520848,13.314425,62,0
ASKN,ASHOK NAGAR,77.726725,24.58015,28,0
ASL,ASLAODA,75.60816016,23.23126431,3,0
ASN,ASANSOL JN,86.975152,23.691441,190,8
ASR,AMRITSAR JN,74.858025,31.631512,82,34
AST,ASAOTI,77.323569,28.250878,5,0
ASV,ASARVA JN,72.612937,23.043981,2,0
AT,ASNOTI,74.147683,14.876286,2,0
ATE,ATARRA,80.576491,25.291367,19,0
ATH,ANTAH,76.3072684,25.1611771,8,0
ATL,ATHMAL GOLA,85.62137241,25.45301498,18,0
ATMO,AITHAL,78.04362303,29.80792959,8,0
ATNR,AWATARNAGAR,84.956774,25.764396,2,0
ATP,ANANTAPUR,77.595312,14.686478,76,0
ATPA,AWANTIPURA,75.0139,33.9218,2,0
ATR,ATTAR,76.204918,21.998734,4,0
ATRU,ATRU,76.6702185,24.8821354,4,0
ATS,ATTABIRA,83.792637,21.388039,6,0
ATT,ATARI,74.607241,31.594934,2,1
ATU,ATTUR,78.592092,11.594788,6,0
ATUL,ATUL,72.92713359,20.54459335,2,0
AUB,ALUABARI ROAD,88.18561,26.269681,24,0
AUBR,ANUGRAHA N ROAD,84.3298444,24.8559556,35,0
AUWA,AUWA,73.564613,25.665207,2,0
AVD,AVADI,80.100518,13.118247,3,0
AVK,ARAVANKADU,76.769203,11.359124,4,0
AVN,ANAVARDIKHANPET,79.56735043,13.05050406,2,0
AVRD,ARAVALI ROAD,73.53816,17.316531,6,0
AVS,AUVANESWSAREM,76.852807,9.036513,2,0
AWB,AURANGABAD,75.310646,19.859276,50,4
AWM,ASWAPURAM,80.80126,17.821267,2,0
AWR,ALWAR,76.621265,27.559273,60,0
AWY,ALUVA,76.356508,10.108163,121,0
AXA,AMARSAR,70.91711,22.585991,2,0
AXK,ASOKHAR,78.555854,26.525539,2,0
AXR,ALLURU ROAD,79.989036,14.710541,1,0
AY,AYODHYA,82.200604,26.787784,42,0
AYB,ALIYABAD,75.758306,16.878268,1,0
AYRN,AKSHAYWAT R NGR,85.31541102,25.68876762,4,0
AZ,AZIMGANJ JN,88.256764,24.219053,29,2
AZR,AZAMNAGAR ROAD,87.85232784,25.55555564,14,0
BAB,BABINA,78.451748,25.237832,25,0
BABR,BALANAGAR,78.188891,16.947622,2,0
BAE,BALIAKHERI,77.63368,29.9285,2,0
BAGD,BAGWADA (HALT),72.916866,20.43948,2,0
BAGL,BARAGOPAL,84.906765,25.765088,2,0
BAHI,BALLENAHALLI,76.566376,14.250321,2,0
BAHL,BANIHAL,75.1939,33.437,2,1
BAI,BASSI,76.047213,26.840617,2,0
BAK,BHAN KARI,76.40945546,26.96254679,2,0
BAKA,BANKA,86.91169349,24.86590103,2,1
BAL,BUDALUR,78.981443,10.782843,8,0
BALE,BALE,75.84508618,17.6761856,2,0
BALR,BAITALPUR,83.7385572,26.5526634,2,0
BALU,BALUGAON,85.200953,19.747366,63,0
BAM,BRAHMAPUR,84.7966912,19.2961348,120,0
BAMA,BIRAMBAD,77.32494,26.922783,2,0
BAMR,BAMUR,84.475865,21.006738,2,0
BAND,BANASWADI,77.628196,13.00573,37,0
BANE,BASNI,73.010639,26.222963,4,0
BANI,BANI,81.620936,26.227488,4,0
BANO,BANO,84.90298541,22.6647838,8,0
BAO,BANMOR,78.0989272,26.355565,3,0
BAP,BELAPUR,74.66174431,19.61956931,42,0
BAQ,GANJ BASODA,77.944826,23.845347,48,0
BAR,BAR,74.113189,26.063048,2,0
BARH,BARH,85.709426,25.46165,60,0
BARL,BARAL,77.809975,28.494092,3,0
BAT,BATALA JN,75.1944316,31.8214816,9,0
BATL,BAIHATOLA,82.05862,23.231204,12,0
BAU,BURHANPUR,76.1986787,21.3343976,54,0
BAW,CHIK BANAVAR,77.506341,13.073539,5,0
BAY,BELLARY JN,76.921995,15.145135,32,0
BAZ,BARAN,76.5051284,25.0967701,18,0
BBA,BABRALA,78.4034137,28.2664932,4,0
BBAI,BHADBHUNJA,73.693754,21.166264,5,0
BBGN,BARUA BAMUNGAON,93.944693,26.662157,2,0
BBK,BARABANKI JN,81.18104,26.935335,78,0
BBM,BARABHUM,86.2112372,23.0912864,17,0
BBMN,BARI BRAHMAN,74.916171,32.63896,8,0
BBN,BARABIL,85.369058,22.104577,6,3
BBO,BABUGARH,77.855523,28.747393,1,0
BBPM,BALABHADRAPURAM,82.00037566,16.96580143,2,0
BBS,BHUBANESWAR,85.842595,20.265388,210,28
BBTR,BARBATPUR,77.920758,22.197033,4,0
BBU,BHABUA ROAD,83.618913,25.173007,55,0
BBY,BHADROLI,78.181356,26.30595,2,0
BC,BAREILLY CITY,79.403718,28.3556564,4,0
BCA,BACHWARA JN,85.9001424,25.5812576,15,0
BCH,BERCHHA,76.3341929,23.2824808,44,0
BCHL,BACHELI,81.238534,18.703461,2,0
BCK,BALICHAK,87.55335416,22.35818589,4,0
BCN,BACHHRAWAN,81.1054565,26.4773211,27,0
BCOB,BHACHAU BG,70.344972,23.301391,26,0
BCQ,BARACHAK,86.928133,23.706726,4,0
BCRD,BARCHI ROAD,78.311632,21.951502,3,0
BCT,MUMBAI CENTRAL,72.819383,18.970667,43,21
BCU,BHUCHCHU,75.0951862,30.209882,8,0
BCY,VARANASI CITY,83.0141142,25.3341176,27,0
BD,BADNERA JN,77.7323197,20.8567925,92,0
BDAG,BONIDANGA,87.81052581,24.82345158,1,0
BDC,BANDEL JN,88.3793623,22.9236565,90,0
BDCR,BHADRACHALAM RD,80.616024,17.550365,6,1
BDDR,BADODAR,70.295846,21.361073,2,0
BDH,BHEDIA,87.711813,23.586642,4,0
BDHT,BARDI HALT,78.822411,21.621177,1,0
BDHY,BUDHI,75.432931,32.440429,2,0
BDI,BHADLI,75.67291233,21.02366325,6,0
BDJ,VADAKARA,75.5869409,11.5933214,50,0
BDL,VINDHYACHAL,82.5020212,25.1607717,49,1
BDM,BADAMI,75.6767002,15.958918,12,0
BDN,BHADAN,78.7374946,26.9793918,2,0
BDNP,BIDANPUR,81.442017,25.585017,1,0
BDPL,BANDARUPALLE,80.3628002,16.3655265,2,0
BDRL,BYADARAHALLI,76.75208323,12.5019534,4,0
BDTS,BANDRA TERMINUS,72.840535,19.061911,81,39
BDU,BADNAPUR,75.722483,19.873979,8,0
BDVL,BUDVEL,78.4245182,17.3093773,3,0
BDVR,BODDAVARA,83.112494,18.175095,2,0
BDVT,BHADRAVATI,75.702832,13.8424287,10,0
BDW,BANDANWARA,74.6913786,26.1253008,3,0
BDWA,BADHWA BARA,81.28636818,23.2939334,5,0
BDWD,BODWAD,76.017046,20.9035827,12,0
BDWL,BIRADHWAL,73.89651623,29.17411682,6,0
BDWS,BADARWAS,77.56182792,24.98333982,4,0
BDXX,BADE ARAPUR,81.837917,19.011494,2,0
BDY,BUDDIREDDIPPATI,78.3127518,12.04465861,2,0
BDYK,BINDAYAKA,75.659572,26.924224,2,0
BDZ,BADKULLA,88.526557,23.3046657,4,0
BE,BAREILLY,79.4108444,28.3371543,162,11
BEA,BIHIYA,84.448984,25.558893,24,0
BEAS,BEAS,75.2908085,31.5193738,78,0
BEB,BELDANGA,88.2429681,23.9320594,10,0
BEF,BHUPDEOPUR,83.25998102,21.97503504,4,0
BEG,BEHTAGOKUL,80.054854,27.5304336,2,0
BEH,BAGDIHI,84.18631,21.951046,12,0
BEHR,BEOHARI,81.3797154,24.0002687,8,0
BEHS,BIHAR SHARIF,85.5390747,25.206116,7,0
BEK,BUNDKI,78.3932854,29.522577,1,0
BELA,BELA,84.981353,24.97843,6,0
BER,BEAWAR,74.3149711,26.1089078,42,0
BET,BARETH,77.99967978,23.91494729,4,0
BEW,BETAVAD,74.886199,21.149244,4,0
BEY,B CEMENT NAGAR,78.19541209,15.48632233,8,0
BFD,BORHAT,95.277512,27.164263,4,0
BFE,BAHAWAL BASI,74.279311,30.147265,1,0
BFJ,BHORAS BUDRUKH,75.014292,20.538301,2,0
BFM,BHALUI,86.17287459,25.07321603,10,0
BFR,BEKAL FORT,75.042786,12.385524,3,0
BFT,BHABTA,88.241584,23.9869677,4,0
BFY,BHESANA,73.7180903,25.82438,2,0
BG,BHONGIR,78.89847,17.524696,18,0
BGA,BAGALIA,86.51904643,23.44693617,2,0
BGAE,BALAGARH,88.4525522,23.1215453,2,0
BGBR,BAGBAHRA,82.3841486,21.0462946,14,0
BGG,BANTA RNATHGARH,73.52738176,25.60180707,2,0
BGH,BAGHAULI,80.296314,27.228081,5,0
BGHI,BAGAHAI ROAD,81.018663,24.555903,6,0
BGHU,BORRAGUHALLU,83.040289,18.275624,2,0
BGK,BAGALKOT,75.7002383,16.1787931,18,1
BGKT,BHAGAT KI KOTHI,73.0133366,26.2484972,25,10
BGM,BELGAUM,74.5095639,15.8492433,39,0
BGMR,BAGUMRA,72.996091,21.149694,5,0
BGP,BHAGALPUR,86.9767918,25.2419093,56,13
BGPL,BAGHUAPAL,86.013166,21.042219,2,0
BGPR,BHAGWANPURA,73.363312,25.419012,2,0
BGQ,BHONGAON,79.1657234,27.2590416,4,0
BGRA,BAGHNAPARA,88.329724,23.242082,1,0
BGS,BEGU SARAI,86.134476,25.425296,50,0
BGSF,BISUGIRSHARIF,79.483604,18.348122,2,0
BGTA,BAGRA TAWA,77.9937073,22.6307113,6,0
BGU,BAIRAGNIA,85.273334,26.738282,8,0
BGUA,BAIGUDA,82.96578736,18.82704371,2,0
BGVN,BHIGWAN,74.775042,18.317256,15,0
BGX,BAGRI SAJJANPUR,73.821842,25.916759,2,0
BGY,BANGRIPOSI,86.501362,22.130678,2,1
BGZ,BAHADURGARH,76.930886,28.700863,33,0
BH,BHARUCH JN,72.997689,21.706907,127,0
BHB,BADLA GHAT,86.5871439,25.5537629,4,0
BHBK,BODHADI BUJRUG,78.19524877,19.49627599,2,0
BHC,BHADRAK,86.5162305,21.0917458,109,0
BHD,BADLI,77.1377425,28.7468,3,0
BHDR,BHADRI,81.5677547,25.6766583,1,0
BHET,BHESTAN,72.8613128,21.1278829,5,0
BHI,BAHERI,79.5003221,28.777391,2,0
BHJA,BHEJA,82.68546381,18.47264914,2,0
BHKD,BHURKUNDA,85.3721452,23.6375642,3,0
BHL,BHILWARA,74.6307734,25.3435508,33,0
BHLA,BEHULA,88.4287921,23.1819674,1,0
BHLE,BARAHAT,87.0100838,24.92060047,2,0
BHLK,BHALKI,77.228081,18.0470111,14,0
BHLP,BHULANPUR,82.9575192,25.2878753,12,0
BHME,BHANDARIDAH,86.05509864,23.75667293,4,0
BHNE,BHONE,75.222477,21.018946,4,0
BHNS,BHANSI,81.26535758,18.77690197,2,0
BHP,BOLPUR S NIKTN,87.698136,23.657804,63,1
BHRL,BHAROLI,75.61637323,32.27104809,2,0
BHS,VIDISHA,77.8148356,23.5222886,63,0
BHT,BHATTU,75.34013,29.387323,2,0
BHTA,BHATIYA,69.2803623,22.0881542,8,0
BHTK,BHANWAR TONK,81.897794,22.607916,8,0
BHTL,BHATEL,69.4936287,22.1640963,4,0
BHTN,BHITONI,79.6740109,23.1427283,2,0
BHTR,BHATPAR RANI,84.0331014,26.3104766,14,0
BHU,BHANDU MOTIDAU,72.389339,23.709061,2,0
BHUJ,BHUJ,69.6778278,23.2660225,16,8
BHV,BHOMA,79.689457,22.171372,2,0
BHW,BARHARWA JN,87.774493,24.857748,26,0
BIA,BHILAI,81.4217238,21.2025983,8,0
BIC,BICHIA,81.2720808,28.1830705,2,0
BID,BIDADI,77.3902984,12.8004252,16,0
BIDR,BIDAR,77.5137793,17.9116836,18,2
BIG,BELGAHNA,82.032374,22.431085,14,0
BIH,BAIRAGARH,77.33622,23.2736072,44,0
BIJ,BIRNAGAR,88.551252,23.2358754,4,0
BIJR,BIJOOR,74.6420535,13.8221962,4,0
BIK,BHIRA KHERI,80.486132,28.334799,2,0
BILD,BILDI,74.9185387,23.2255232,3,0
BIM,BILIMORA JN,72.970474,20.763319,22,0
BINA,BINA JN,78.1831998,24.1709735,136,0
BIO,BORDI,74.3470986,22.8664871,4,0
BIQ,BANSI PAHARPUR,77.457241,26.93277,2,0
BIR,BIR,76.547232,22.05264,1,0
BIRD,BHIWANDI ROAD,73.045654,19.268544,32,0
BIWK,BISALWAS KALAN,74.783084,24.5000353,1,0
BIX,BHIND,78.7774353,26.5889049,4,2
BIY,BARDOLI,73.1058944,21.1342405,9,0
BJ,BAHJOI,78.6315064,28.4014996,3,0
BJD,BAREJADI,72.6778863,22.8954267,9,0
BJE,BHOJUDIH JN,86.4469993,23.642175,10,1
BJF,BIJNI,90.707827,26.497967,2,0
BJG,BAJRANGARH,74.694993,23.042607,2,0
BJK,BIJORA,76.3956989,25.1451124,3,0
BJMD,BARA JAMDA,85.412392,22.1665327,6,0
BJN,BEJNAL,73.914959,24.983198,2,0
BJNR,BIJAINAGAR,74.6530589,25.931003,23,0
BJO,BIJNOR,78.1468047,29.3856298,7,0
BJP,BIJAPUR,75.7400012,16.8310603,24,3
BJQ,BAGHORA,78.2603362,24.1358767,3,0
BJR,BARRAJPUR,80.1386776,26.6851659,2,0
BJRI,BIJURI,82.1189461,23.2503386,15,0
BJU,BARAUNI JN,85.988748,25.461768,131,6
BJUD,BAJUD,71.827925,21.736131,3,0
BJW,BAJVA,73.1431251,22.3662226,4,0
BKA,BARKHERA,77.649646,22.917359,2,0
BKG,BANKA GHAT,85.272742,25.547008,8,0
BKH,BANKHEDI,78.5379969,22.7748819,6,0
BKI,BANDIKUI JN,76.566723,27.039271,59,0
BKJ,BARKUR,74.7596804,13.4774588,6,0
BKL,BONA KALU,80.261499,17.031591,4,0
BKN,BIKANER JN,73.316598,28.014139,54,21
BKNG,BHAKTI NAGAR,70.792278,22.282963,14,0
BKO,BINDKI ROAD,80.580557,26.116562,5,0
BKP,BAKHTIYARPUR JN,85.529564,25.45611,99,0
BKPT,BHAKARAPET,78.97007317,14.4093627,2,0
BKRD,BHALUKA ROAD F,87.9121276,25.3425716,7,0
BKRO,BOKARO THERMAL,85.8755782,23.7851503,4,0
BKSC,BOKARO STL CITY,86.085016,23.656551,56,1
BKSL,BIKRAM SHILA,87.3002182,25.30004436,4,0
BKTH,BAIKUNTH,81.7800294,21.4976724,2,0
BKTL,BAKTAL,77.038514,23.234083,3,0
BL,VALSAD,72.9335291,20.6085595,114,6
BLAX,BARLAI,75.962109,22.894163,4,0
BLD,BHILAD,72.887446,20.2753232,11,0
BLDA,BELDA,87.33691374,22.07144398,12,0
BLDI,BHILDI,72.008187,24.194251,12,0
BLG,BILHAR GHAT,82.2689979,26.6813068,1,0
BLGR,BALANGIR,83.494207,20.688591,42,1
BLGT,BALURGHAT,88.757636,25.232648,6,3
BLH,BELGHARIA,88.389455,22.6619,1,0
BLK,BELAKOBA,88.583312,26.591441,5,0
BLL,BANTANAHAL,77.27572365,15.16290019,4,0
BLLI,BALLI,74.0209756,15.1517258,2,0
BLM,BALAMU JN,80.352497,27.167363,29,0
BLMK,BHALUMASKA,83.29429956,19.32812783,2,0
BLMR,BHALUKMARA,94.143709,26.685532,2,0
BLNI,BHALWANI,75.199289,18.212962,2,0
BLNR,BIRLANAGAR,78.1953108,26.237555,2,0
BLO,BHULON,76.968812,24.635909,2,0
BLPE,BALAPALLE,79.403557,13.817151,2,0
BLPR,BADULIPAR,93.879129,26.646825,2,0
BLPU,BILPUR,79.625781,28.083668,8,0
BLQR,BILASPUR ROAD,79.254263,28.865601,10,0
BLR,BALGANUR,75.60251865,15.59262851,4,0
BLRD,BALA ROAD,71.703754,22.80462,2,0
BLS,BALASORE,86.919582,21.500521,123,0
BLSA,BOLSA,77.70292058,19.00129053,6,0
BLSN,BELSONDA,82.035625,21.155027,2,0
BLT,BALOTRA JN,72.248683,25.830071,10,0
BLTR,BELTHARA ROAD,83.841719,26.121418,21,0
BLU,BILHAUR,80.060383,26.839002,2,0
BLW,BALAWALI,78.1124328,29.6274345,3,0
BLWR,BILESHWAR,70.830427,22.382129,1,0
BLX,BOLAI,76.48640474,23.36140065,5,0
BLY,BALLY,88.34060655,22.65526558,1,0
BLZ,BUDHLADA,75.5496866,29.9217422,12,0
BMB,BAMRA,84.291044,22.051355,25,0
BMC,BHIMALGONDI,78.914582,21.740994,6,0
BMCK,BISSAMCUTTACK,83.458973,19.487438,6,0
BMD,BHIMADOLU,81.26109679,16.80848173,8,0
BME,BARMER,71.397067,25.7445219,10,5
BMF,BASMAT,77.1517776,19.33347231,12,0
BMGM,BRAHMANAGUDEM,81.67527695,16.93025821,2,0
BMH,BETAMCHERLA,78.148636,15.449372,14,0
BMI,BAMNIA,74.7590158,23.0957635,12,0
BMK,BIRANG KHERA,74.63586429,29.91256971,4,0
BMKD,BELLAMKONDA,80.006313,16.46998,3,0
BMKI,BAPUDM MOTIHARI,84.90529,26.655733,20,0
BMKJ,BHIMKHOJ,82.289327,21.080325,2,0
BMLL,BAMLA,76.244079,28.832464,2,0
BMN,BHIMANA,72.886302,24.595571,2,0
BMNL,BAMANWALI,73.555273,28.361736,2,0
BMO,BOLARUM,78.5154167,17.5335493,11,0
BMPL,BRAHMANPALLI,78.45017924,17.83292799,2,0
BMR,BIKRAMPUR,79.586316,23.082226,2,0
BMRN,BHIMRANA,68.992445,22.389889,3,0
BMT,BEGAMPET,78.4586266,17.4388739,36,0
BMU,BAMHRAULI,81.741641,25.44494,2,0
BN,BIBINAGAR,78.794355,17.470511,11,0
BNC,BANGALORE CANT,77.5993269,12.9936735,70,3
BNCE,BANGALORE EAST,77.6184701,13.00148,24,0
BNDA,BANDA JN,80.336246,25.477677,21,0
BNDM,BONDAMUNDA,84.9250581,22.2355174,16,0
BNDP,BUNIADPUR,88.402088,25.386267,6,0
BNE,BOHANI,78.9159774,22.91374764,2,0
BNGN,BONGAIGAON,90.560548,26.478293,4,0
BNI,BUDNI,77.6812826,22.7871143,4,0
BNL,BEVINAHALU,77.21298975,15.16697376,4,0
BNLW,BANSTHALI NIWAI,75.93511006,26.38392781,25,0
BNN,BARNALA,75.5492466,30.3703968,19,0
BNO,BANAR,73.146431,26.33951,4,0
