train_no,train_name,source_code,source_name,des_code,des_name
'07720',PUSHKARAM SPL  ,SC  ,SECUNDERABAD JN,BDCR,BHADRACHALAM RD
'07723',PUSHKARAM SPL  ,TPTY,TIRUPATI       ,VZM ,VIZIANAGRAM JN 
'07724',PUSHKARAM SPL  ,VZM ,VIZIANAGRAM JN ,TPTY,TIRUPATI       
'08010',PURI HWH SPECIA,PURI,PURI           ,HWH ,HOWRAH JN      
'08243',BSP BGKTSPECIAL,BSP ,BILASPUR JN    ,BGKT,BHAGAT KI KOTHI
'08244',BGKT BSP SPL   ,BGKT,BHAGAT KI KOTHI,BSP ,BILASPUR JN    
'08245',BSP BKN SPECIAL,BSP ,BILASPUR JN    ,BKN ,BIKANER JN     
'08246',BKN BSP SPL    ,BKN ,BIKANER JN     ,BSP ,BILASPUR JN    
'08295',BSP PUNE SPL   ,BSP ,BILASPUR JN    ,PUNE,PUNE JN        
'08301',SBP YPR SPECIAL,SBP ,SAMBALPUR      ,YPR ,YESVANTPUR JN  
'08302',YPR SBP EXP    ,YPR ,YESVANTPUR JN  ,SBP ,SAMBALPUR      
'08401',PURI SRC SPL   ,PURI,PURI           ,SRC ,SANTRAGACHI JN 
'08402',SRC PURI  SPL  ,SRC ,SANTRAGACHI JN ,PURI,PURI           
'08449',BBS PNBE SPL   ,BBS ,BHUBANESWAR    ,PNBE,PATNA JN       
'08450',PNBE BBS SPL   ,PNBE,PATNA JN       ,BBS ,BHUBANESWAR    
'08501',VSKP SC SPL    ,VSKP,VISAKHAPATNAM  ,SC  ,SECUNDERABAD JN
'08502',SC VSKP SPL    ,SC  ,SECUNDERABAD JN,VSKP,VISAKHAPATNAM  
'08891',BSP SVDK SPL   ,BSP ,BILASPUR JN    ,SVDK,SHMATA VD KATRA
'08892',SVDK BSP SPL   ,SVDK,SHMATA VD KATRA,BSP ,BILASPUR JN    
'09607',NDT UDZ SPL    ,NDT ,NATHDWARA      ,UDZ ,UDAIPUR CITY   
'09608',UDZ NDT SPL    ,UDZ ,UDAIPUR CITY   ,NDT ,NATHDWARA      
'09627',AII DEE SF SPL ,AII ,AJMER JN       ,DEE ,DELHI S ROHILLA
'09628',DEE AII SF SPL ,DEE ,DELHI S ROHILLA,AII ,AJMER JN       
'09721',JP UDZ SF SPL  ,JP  ,JAIPUR         ,UDZ ,UDAIPUR CITY   
'09722',UDZ JP SF SPL  ,UDZ ,UDAIPUR CITY   ,JP  ,JAIPUR         
'09807',KOTA NZM SUP SP,KOTA,KOTA JN        ,NZM ,H NIZAMUDDIN   
'09808',NZM KOTA SF SPL,NZM ,H NIZAMUDDIN   ,KOTA,KOTA JN        
'10001',SATPURA EXPRESS,BTC ,BALAGHAT JN    ,JBP ,JABALPUR       
'10002',SATPURA EXPRESS,JBP ,JABALPUR       ,BTC ,BALAGHAT JN    
'10103',MANDOVI EXPRESS,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10104',MANDOVI EXPRESS,MAO ,MADGAON        ,CSTM,MUMBAI CST     
'10111',KONKAN KANYA EX,CSTM,MUMBAI CST     ,MAO ,MADGAON        
'10112',KONKAN KANYA EX,MAO ,MADGAON        ,CSTM,MUMBAI CST     
'10215',MADGAON ERS EXP,MAO ,MADGAON        ,ERS ,ERNAKULAM JN   
'10216',MADGAON EXPRESS,ERS ,ERNAKULAM JN   ,MAO ,MADGAON        
'11003',RAJYA RANI EXP ,DR  ,DADAR          ,SWV ,SAWANTWADI ROAD
'11004',RAJYA RANI EXP ,SWV ,SAWANTWADI ROAD,DR  ,DADAR          
'11005',PUDUCHERRY EXP ,DR  ,DADAR          ,PDY ,PUDUCHERRY     
'11006',CHALUKYA  EXP  ,PDY ,PUDUCHERRY     ,DR  ,DADAR          
'11007',DECCAN EXPRESS ,CSTM,MUMBAI CST     ,PUNE,PUNE JN        
'11008',DECCAN EXPRESS ,PUNE,PUNE JN        ,CSTM,MUMBAI CST     
'11009',SINHAGAD EXP   ,CSTM,MUMBAI CST     ,PUNE,PUNE JN        
'11010',SINHAGAD EXP   ,PUNE,PUNE JN        ,CSTM,MUMBAI CST     
'11011',LTT NANDED EXP ,LTT ,LOKMANYATILAK T,NED ,H SAHIB NANDED 
'11012',NED LTT EXPRESS,NED ,H SAHIB NANDED ,LTT ,LOKMANYATILAK T
'11013',COIMBATORE EXP ,LTT ,LOKMANYATILAK T,CBE ,COIMBATORE JN  
'11014',LOKMANYA TT EXP,CBE ,COIMBATORE JN  ,LTT ,LOKMANYATILAK T
'11015',KUSHINAGAR EXP ,LTT ,LOKMANYATILAK T,GKP ,GORAKHPUR JN   
'11016',KUSHINAGAR EXP ,GKP ,GORAKHPUR JN   ,LTT ,LOKMANYATILAK T
'11017',LTT KARAIKAL EX,LTT ,LOKMANYATILAK T,KIK ,KARAIKAL       
'11018',KIK LTT EXPRESS,KIK ,KARAIKAL       ,LTT ,LOKMANYATILAK T
'11019',KONARK EXPRESS ,CSTM,MUMBAI CST     ,BBS ,BHUBANESWAR    
'11020',KONARK EXPRESS ,BBS ,BHUBANESWAR    ,CSTM,MUMBAI CST     
'11021',TIRUNELVELI EXP,DR  ,DADAR          ,TEN ,TIRUNELVELI    
'11022',CHALUKYA  EXP  ,TEN ,TIRUNELVELI    ,DR  ,DADAR          
'11023',SAHYADRI EXPRES,CSTM,MUMBAI CST     ,KOP ,C SHAHUMHARAJ T
'11024',SAHYADRI EXP   ,KOP ,C SHAHUMHARAJ T,CSTM,MUMBAI CST     
'11025',BSL PUNE EXP   ,BSL ,BHUSAVAL JN    ,PUNE,PUNE JN        
'11026',PUNE BSL EXP   ,PUNE,PUNE JN        ,BSL ,BHUSAVAL JN    
'11027',CHENNAI MAIL   ,CSTM,MUMBAI CST     ,MAS ,CHENNAI CENTRAL
'11028',MUMBAI MAIL    ,MAS ,CHENNAI CENTRAL,CSTM,MUMBAI CST     
'11029',KOYNA EXPRESS  ,CSTM,MUMBAI CST     ,KOP ,C SHAHUMHARAJ T
'11030',KOYNA EXPRESS  ,KOP ,C SHAHUMHARAJ T,CSTM,MUMBAI CST     
'11031',SUR BIJAPUR EXP,SUR ,SOLAPUR JN     ,BJP ,BIJAPUR        
'11032',BJP SUR EXP    ,BJP ,BIJAPUR        ,SUR ,SOLAPUR JN     
'11033',DARBHANGA EXP  ,PUNE,PUNE JN        ,DBG ,DARBHANGA JN   
'11034',DBG PUNE EXP   ,DBG ,DARBHANGA JN   ,PUNE,PUNE JN        
'11035',SHARAVATHI EXP ,DR  ,DADAR          ,MYS ,MYSORE JN      
'11036',SHARAVATI  EXP ,MYS ,MYSORE JN      ,DR  ,DADAR          
'11037',PA GORAKHPUR EX,PUNE,PUNE JN        ,GKP ,GORAKHPUR JN   
'11038',GKP PUNE EXPRES,GKP ,GORAKHPUR JN   ,PUNE,PUNE JN        
'11039',MAHARASHTRA EXP,KOP ,C SHAHUMHARAJ T,G   ,GONDIA JN      
'11040',MAHARASHTRA EXP,G   ,GONDIA JN      ,KOP ,C SHAHUMHARAJ T
'11041',CSTM CHENNAI EX,CSTM,MUMBAI CST     ,MAS ,CHENNAI CENTRAL
'11042',MUMBAI EXPRESS ,MAS ,CHENNAI CENTRAL,CSTM,MUMBAI CST     
'11043',MADURAI EXPRESS,LTT ,LOKMANYATILAK T,MDU ,MADURAI JN     
'11044',LOKAMANYA TT EX,MDU ,MADURAI JN     ,LTT ,LOKMANYATILAK T
'11045',DIKSHABHOOMI EX,KOP ,C SHAHUMHARAJ T,DHN ,DHANBAD JN     
'11046',DIKSHABHUMI EXP,DHN ,DHANBAD JN     ,KOP ,C SHAHUMHARAJ T
'11047',MIRAJ UBL EXP  ,MRJ ,MIRAJ JN       ,UBL ,HUBLI JN       
'11048',UBL MRJ EXPRESS,UBL ,HUBLI JN       ,MRJ ,MIRAJ JN       
'11049',KOLHAPUR EXPRES,ADI ,AHMEDABAD JN   ,KOP ,C SHAHUMHARAJ T
'11050',AHMEDABAD EXP  ,KOP ,C SHAHUMHARAJ T,ADI ,AHMEDABAD JN   
'11051',SUR KOP EXP    ,SUR ,SOLAPUR JN     ,KOP ,C SHAHUMHARAJ T
'11052',KOP SOLAPUR EXP,KOP ,C SHAHUMHARAJ T,SUR ,SOLAPUR JN     
'11053',LTT AZAMGARH EX,LTT ,LOKMANYATILAK T,AMH ,AZAMGARH       
'11054',AMH LTT EXP    ,AMH ,AZAMGARH       ,LTT ,LOKMANYATILAK T
'11055',GODAN EXPRESS  ,LTT ,LOKMANYATILAK T,GKP ,GORAKHPUR JN   
'11056',GODAN EXPRESS  ,GKP ,GORAKHPUR JN   ,LTT ,LOKMANYATILAK T
'11057',AMRITSAR EXPRES,CSTM,MUMBAI CST     ,ASR ,AMRITSAR JN    
'11058',ASR CSTM  EXP  ,ASR ,AMRITSAR JN    ,CSTM,MUMBAI CST     
'11059',CHHAPRA EXPRESS,LTT ,LOKMANYATILAK T,CPR ,CHHAPRA        
'11060',CPR LTT EXPRESS,CPR ,CHHAPRA        ,LTT ,LOKMANYATILAK T
'11061',MUZAFFARPUR EXP,LTT ,LOKMANYATILAK T,MFP ,MUZAFFARPUR JN 
'11062',MFP LTT EXPRESS,MFP ,MUZAFFARPUR JN ,LTT ,LOKMANYATILAK T
'11063',MS SALEM EXP   ,MS  ,CHENNAI EGMORE ,SA  ,SALEM JN       
'11064',SA CHENNAI EXP ,SA  ,SALEM JN       ,MS  ,CHENNAI EGMORE 
'11065',DARBHANGA  EXP ,LTT ,LOKMANYATILAK T,DBG ,DARBHANGA JN   
'11066',DBG LTT EXPRESS,DBG ,DARBHANGA JN   ,LTT ,LOKMANYATILAK T
'11067',SAKET EXPRESS  ,LTT ,LOKMANYATILAK T,FD  ,FAIZABAD JN    
'11068',SAKET EXPRESS  ,FD  ,FAIZABAD JN    ,LTT ,LOKMANYATILAK T
'11069',TULSI EXPRESS  ,LTT ,LOKMANYATILAK T,ALD ,ALLAHABAD JN   
'11070',TULSI EXPRESS  ,ALD ,ALLAHABAD JN   ,LTT ,LOKMANYATILAK T
'11071',KAMAYANI EXPRES,LTT ,LOKMANYATILAK T,BSB ,VARANASI JN    
'11072',KAMAYANI EXPRES,BSB ,VARANASI JN    ,LTT ,LOKMANYATILAK T
'11073',LTT CHENNAI  EX,LTT ,LOKMANYATILAK T,MAS ,CHENNAI CENTRAL
'11074',CHENNAI LTT EXP,MAS ,CHENNAI CENTRAL,LTT ,LOKMANYATILAK T
'11075',LTT BIDR EXPRES,LTT ,LOKMANYATILAK T,BIDR,BIDAR          
'11076',BIDR LTT EXP   ,BIDR,BIDAR          ,LTT ,LOKMANYATILAK T
'11077',JHELUM EXPRESS ,PUNE,PUNE JN        ,JAT ,JAMMU TAWI     
'11078',JHELUM EXPRESS ,JAT ,JAMMU TAWI     ,PUNE,PUNE JN        
'11081',LTT GKP EXPRESS,LTT ,LOKMANYATILAK T,GKP ,GORAKHPUR JN   
'11082',GKP LTT EXP    ,GKP ,GORAKHPUR JN   ,LTT ,LOKMANYATILAK T
'11087',VERAVAL PUNE EX,VRL ,VERAVAL        ,PUNE,PUNE JN        
'11088',PUNE VERAVAL EX,PUNE,PUNE JN        ,VRL ,VERAVAL        
'11089',BGKTPUNE EXPRES,BGKT,BHAGAT KI KOTHI,PUNE,PUNE JN        
'11090',PUNE BGKT EXP  ,PUNE,PUNE JN        ,BGKT,BHAGAT KI KOTHI
'11091',BHUJ PUNE EXP  ,BHUJ,BHUJ           ,PUNE,PUNE JN        
'11092',PUNE BHUJ EXP  ,PUNE,PUNE JN        ,BHUJ,BHUJ           
'11093',MAHANAGARI EXP ,CSTM,MUMBAI CST     ,BSB ,VARANASI JN    
'11094',MAHANAGARI EXP ,BSB ,VARANASI JN    ,CSTM,MUMBAI CST     
'11095',AHIMSA EXPRESS ,ADI ,AHMEDABAD JN   ,PUNE,PUNE JN        
'11096',AHIMSA EXPRESS ,PUNE,PUNE JN        ,ADI ,AHMEDABAD JN   
'11097',POORNA EXPRESS ,PUNE,PUNE JN        ,ERS ,ERNAKULAM JN   
'11098',POORNA EXPRESS ,ERS ,ERNAKULAM JN   ,PUNE,PUNE JN        
'11101',PUNE GWALIOR EX,PUNE,PUNE JN        ,GWL ,GWALIOR        
'11102',GWL PUNE EXP   ,GWL ,GWALIOR        ,PUNE,PUNE JN        
'11103',JHS BDTS EXP   ,JHS ,JHANSI JN      ,BDTS,BANDRA TERMINUS
'11104',BDTS JHANSI EXP,BDTS,BANDRA TERMINUS,JHS ,JHANSI JN      
'11105',PRATHAM S S EXP,KOAA,KOLKATA        ,JHS ,JHANSI JN      
'11106',PRATHAM S SNGRM,JHS ,JHANSI JN      ,KOAA,KOLKATA        
'11107',BUNDELKHAND EXP,GWL ,GWALIOR        ,BSB ,VARANASI JN    
'11108',BUNDELKHAND EXP,BSB ,VARANASI JN    ,GWL ,GWALIOR        
'11109',JHS LJN  INT EX,JHS ,JHANSI JN      ,LJN ,LUCKNOW NE     
'11110',LJN JHS INT EXP,LJN ,LUCKNOW NE     ,JHS ,JHANSI JN      
'11111',GD SUSHASAN EXP,GWL ,GWALIOR        ,GD  ,GONDA JN       
'11112',GWL SUSHASAN EX,GD  ,GONDA JN       ,GWL ,GWALIOR        
'11123',BJU GWL MAIL   ,BJU ,BARAUNI JN     ,GWL ,GWALIOR        
'11124',GWL BJU MAIL   ,GWL ,GWALIOR        ,BJU ,BARAUNI JN     
'11125',IND GWALIAR EXP,INDB,INDORE JN BG   ,GWL ,GWALIOR        
'11126',GWL INDB EXPRES,GWL ,GWALIOR        ,INDB,INDORE JN BG   
'11201',LTT AJNI EXPRES,LTT ,LOKMANYATILAK T,AJNI,AJNI           
'11202',AJNI LTT EXPRES,AJNI,AJNI           ,LTT ,LOKMANYATILAK T
'11203',NGP JAIPUR EXP ,NGP ,NAGPUR         ,JP  ,JAIPUR         
'11204',JP NGP EXP     ,JP  ,JAIPUR         ,NGP ,NAGPUR         
'11205',LTT NZB EXPRESS,LTT ,LOKMANYATILAK T,NZB ,NIZAMABAD      
'11206',NZB  LTT EXP   ,NZB ,NIZAMABAD      ,LTT ,LOKMANYATILAK T
'11207',NGP REWA EXP   ,NGP ,NAGPUR         ,REWA,REWA           
'11208',REWA NAGPUR EXP,REWA,REWA           ,NGP ,NAGPUR         
'11265',AMBIKAPUR EXPRE,JBP ,JABALPUR       ,ABKP,AMBIKAPUR      
'11266',ABKP JBP EXPRES,ABKP,AMBIKAPUR      ,JBP ,JABALPUR       
'11271',VINDHYACHAL EXP,ET  ,ITARSI JN      ,BPL ,BHOPAL  JN     
'11272',VINDHYACHAL EXP,BPL ,BHOPAL  JN     ,ET  ,ITARSI JN      
'11301',UDYAN EXPRESS  ,CSTM,MUMBAI CST     ,SBC ,BANGALORE CY JN
'11302',UDYAN EXP      ,SBC ,BANGALORE CY JN,CSTM,MUMBAI CST     
'11303',HYB KOP EXPRESS,HYB ,HYDERABAD DECAN,KOP ,C SHAHUMHARAJ T
'11304',KOP HYB EXPRESS,KOP ,C SHAHUMHARAJ T,HYB ,HYDERABAD DECAN
'11305',CSTM SOLAPUR EX,CSTM,MUMBAI CST     ,SUR ,SOLAPUR JN     
'11306',SOLAPUR CSTM EX,SUR ,SOLAPUR JN     ,CSTM,MUMBAI CST     
'11401',NANDIGRAM  EXP ,CSTM,MUMBAI CST     ,NGP ,NAGPUR         
'11402',NANDIGRAM  EXP ,NGP ,NAGPUR         ,CSTM,MUMBAI CST     
'11403',NGP KOP EXPRESS,NGP ,NAGPUR         ,KOP ,C SHAHUMHARAJ T
'11404',KOP NAGPUR EXP ,KOP ,C SHAHUMHARAJ T,NGP ,NAGPUR         
'11405',PUNE AMI EXP   ,PUNE,PUNE JN        ,AMI ,AMRAVATI       
'11406',AMI PUNE EXP   ,AMI ,AMRAVATI       ,PUNE,PUNE JN        
'11407',PUNE LJN EXPRES,PUNE,PUNE JN        ,LJN ,LUCKNOW NE     
'11408',LJN PUNE EXP   ,LJN ,LUCKNOW NE     ,PUNE,PUNE JN        
'11423',SUR HUBLI EXP  ,SUR ,SOLAPUR JN     ,UBL ,HUBLI JN       
'11424',SOLAPUR EXPRESS,UBL ,HUBLI JN       ,SUR ,SOLAPUR JN     
'11447',SHAKTIPUNJ EXP ,JBP ,JABALPUR       ,HWH ,HOWRAH JN      
'11448',SHAKTIPUNJ EXP ,HWH ,HOWRAH JN      ,JBP ,JABALPUR       
'11449',JAMMUTAWI EXP  ,JBP ,JABALPUR       ,JAT ,JAMMU TAWI     
'11450',JAT  JBP EXPRES,JAT ,JAMMU TAWI     ,JBP ,JABALPUR       
'11451',INTERCITY EXP  ,JBP ,JABALPUR       ,REWA,REWA           
'11452',INTERCITY EXP  ,REWA,REWA           ,JBP ,JABALPUR       
'11453',PRERANA EXPRESS,ADI ,AHMEDABAD JN   ,NGP ,NAGPUR         
'11454',PRERANA EXPRESS,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11463',SMNH JBP EXPRES,SMNH,SOMNATH        ,JBP ,JABALPUR       
'11464',JBP SOMNATH EXP,JBP ,JABALPUR       ,SMNH,SOMNATH        
'11465',SMNH JBP EXPRES,SMNH,SOMNATH        ,JBP ,JABALPUR       
'11466',JBP SOMNATH EXP,JBP ,JABALPUR       ,SMNH,SOMNATH        
'11471',INDB JBP EXP   ,INDB,INDORE JN BG   ,JBP ,JABALPUR       
'11472',JBP INDB EXP   ,JBP ,JABALPUR       ,INDB,INDORE JN BG   
'11651',SGRL  INTERCITY,JBP ,JABALPUR       ,SGRL,SINGRAULI      
'11652',JBP INTERCITY E,SGRL,SINGRAULI      ,JBP ,JABALPUR       
